S4_GelataTuber_up	S5_GelataTuber_up	S6_GelataTuber_up	S7_GelataTuber_basal	S8_GelataTuber_basal	S9_GelataTuber_basal
GelC01G00240	3.73895413165068	3.81871343327777	4.10188176996361	0.869040245617301	1.59188753689257	1.45401825701103
GelC01G00242	2.19510105418711	1.49320586784198	4.07247215645182	5.41493149249267	4.72204710545435	3.91471545881461
GelC01G00243	6.69464650941647	6.68455473290311	7.13462779963843	6.79791870154281	6.78173725003492	6.45229261278016
GelC01G00244	2.54409773394761	1.93495689712543	1.64988741274034	4.06257903999084	4.59547175850378	4.022988671062
GelC01G00247	7.60008823274985	7.60613855040729	7.41793986433639	7.18739643911063	7.27959994961472	7.40973630737217
GelC01G00249	6.20388483002905	6.05645663208836	5.19956212594564	5.74290682813195	5.7763297560411	5.91960299606435
GelC01G00250	6.76560039105454	6.78560661216984	6.34158280302506	6.11946529314537	6.06394711145242	6.20657331488181
GelC01G00253	6.38785614360844	6.24474645194294	6.96495041879983	6.72800737900903	6.85137673248593	6.65098283632097
GelC01G00255	4.57259771999084	4.58461615088538	4.87271809478052	3.76806015201418	3.85816519328688	4.022988671062
GelC01G00256	5.02536952677254	5.12459066792903	5.6759949570923	5.13840932825893	5.59572743391754	5.36235246580977
GelC01G00257	3.05985069909955	3.01068803662695	2.96636526772405	3.0945534757411	3.33172122036303	3.37572206862902
GelC01G00258	3.64573014951447	3.52211657645468	4.4494499599506	6.28643155475709	6.10254048654472	5.63111803947925
GelC01G00259	7.43750686619719	7.45512361989988	7.55316774337742	7.05187903583265	7.432172278736	7.14003304604837
GelC01G00260	3.76134838440494	2.73282209472291	5.50491690618588	7.20525040771315	6.80272389774356	5.95648076591111
GelC01G00261	6.69173446647179	6.63564090458168	6.41664412887493	5.36497669756939	5.36827328912205	5.21795170762806
GelC01G00262	6.55420874531855	6.44506666062774	6.21271785781275	4.58311117873712	4.40275362211997	4.4935118570349
GelC01G00263	5.86439920355584	5.65007470641276	6.05625732733587	5.97708124750859	5.80261315251763	5.94276183236419
GelC01G00264	6.51849856538594	6.366128051586	6.66590429012513	6.03013300827048	5.72228130671238	5.7774157307722
GelC01G00265	5.89510429272934	5.89956601726193	5.5642257992176	5.56074507695611	5.70566388032323	5.56698381360573
GelC01G00266	1.73378910317516	1.38594601557579	2.47599031229334	1.63084087783025	1.14293639003005	1.55365709370891
GelC01G00267	4.04306115899119	4.08189679115974	4.2796877296823	8.32189522069118	7.85771128774694	7.62403648458209
GelC01G00269	2.7817329065438	2.64250188256039	2.2318245447355	5.62582464383066	6.06394711145242	6.20274130061087
GelC01G00272	4.4811116042918	4.43120642628755	4.95560018189378	3.0945534757411	3.4693363725332	3.89585273264562
GelC01G00274	3.73895413165068	3.41706416517829	3.68253820155788	2.54087209975248	2.77474989248772	3.20233832201047
GelC01G00276	6.37339015343115	6.29749388400996	6.52102559120197	6.00588975224973	6.21640321614315	6.60526850410993
GelC01G00277	6.51520792400732	6.64148229563691	6.48799250632293	7.03998965652118	7.39810298664541	7.26656797598904
GelC01G00278	6.92535827546161	6.904537755132	6.87625087669529	7.35351121314978	7.31837162961261	7.17761127668672
GelC01G00281	3.94863972155144	4.06460982714825	4.22727456276541	3.66861120330449	3.52090583899314	3.8377380732253
GelC01G00282	4.90983359392151	4.82943174711933	4.37912574273257	4.58311117873712	4.27341580891591	4.10739567600188
GelC01G00283	6.50529072504356	6.66747975993397	6.51009838695792	6.40550065426085	6.30732186607158	6.65098283632097
GelC01G00285	1.19008137819003	1.68641082380956	3.33167699176115	2.34863304034828	1.26893374101499	1.10567284570069
GelC01G00286	5.84879806731604	5.58487893003887	6.25587440854939	5.98537111623947	5.80261315251763	5.62540404881708
GelC01G00288	3.84760311913561	3.87929170454363	3.89904035839271	2.86223157665096	1.93378763767848	2.77687455475981
GelC01G00290	3.76134838440494	3.36152275104877	3.79484672672687	3.18370461573086	3.54601538958518	3.89585273264562
GelC01G00291	3.9090700757817	3.93742848792675	3.51774752748488	3.18370461573086	3.57069538374272	3.50581782013097
GelC01G00295	2.38012681445968	1.77410413993219	3.75837341303952	4.615517320165	5.18060471453523	5.41629505506808
GelC01G00296	4.93959651511181	4.75594641334748	4.5595371213723	4.48128206102206	4.52144426122255	4.45537168668479
GelC01G00297	6.58905632078039	6.56977439343323	6.61581557966606	6.6388551073662	6.66625066894457	6.73563306605898
GelC01G00298	5.30233274719123	5.33386743214947	5.27250337869687	5.13095595672429	5.19655000444864	5.27745732192764
GelC01G00299	5.19947898919367	5.07365374457539	5.28537812699726	5.23195394874487	5.45036097366276	5.3963021945603
GelC01G00300	3.52003259264708	3.11513386470431	3.02894610559478	4.16830370386444	4.44341184214625	4.022988671062
GelC01G00301	6.31781291607567	6.267589040456	6.46554262769526	5.98537111623947	6.39630483276871	5.98353335871202
GelC01G00302	6.14973949082742	6.07815453143312	6.11513391397866	6.72305869927659	6.65186553106086	6.5460100927144
GelC01G00303	5.41255842173053	5.44492190654012	5.3603032451804	6.2421488853273	6.05522877434997	5.94276183236419
GelC01G00304	6.94015720378181	6.7934980213156	6.63354512158139	6.96861139936316	7.09414344820029	7.1658498709537
GelC01G00305	4.19885438269158	3.7768669703311	3.99621317591712	3.47025743741423	3.71051619120429	3.71397615014905
GelC01G00306	5.44750510000141	5.25223546761916	5.27895511473481	4.89613439854424	5.0462703648323	5.27015196642912
GelC01G00309	5.58568402905494	5.56657475897003	5.49386653738452	5.02235161840709	5.06376229946633	5.05747363380585
